:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Muhammed Fazlur Rahman\u00F7No\u00F76125
Mou Chen\u00F7Yes\u00F76126
Fang Chen\u00F7Yes\u00F76127
Rolando Burgos\u00F7No\u00F76127
Dushan Boroyevich\u00F7No\u00F76127
Xuning Zhang\u00F7No\u00F76127
Cai Chen\u00F7Yes\u00F76128
Yu Chen\u00F7No\u00F76128
Yuxiong Li\u00F7No\u00F76128
Zhizhao Huang\u00F7No\u00F76128
Teng Liu\u00F7No\u00F76128
Yong Kang\u00F7No\u00F76128
Guipeng Chen\u00F7Yes\u00F76129
Yan Deng\u00F7No\u00F76129
Luan Chen\u00F7No\u00F76129
Yihua Hu\u00F7No\u00F76129
Lin Jiang\u00F7No\u00F76129
Xiangning He\u00F7No\u00F76129
Yousheng Wang\u00F7No\u00F76129
Shiqian Chen\u00F7Yes\u00F76130
Xingjian Dong\u00F7No\u00F76130
Yang Yang\u00F7No\u00F76130
Wenming Zhang\u00F7No\u00F76130
Zhike Peng\u00F7No\u00F76130
Guang Meng\u00F7No\u00F76130
Yiduan Chen\u00F7Yes\u00F76131
Weinong Fu\u00F7No\u00F76131
Xu Weng\u00F7No\u00F76131
Bo-Hao Chen\u00F7Yes\u00F76132
Shih-Chia Huang\u00F7No\u00F76132
Sy-Yen Kuo\u00F7No\u00F76132
Jiann-Jong Chen\u00F7Yes\u00F76133
Yuh-Shyan Hwang\u00F7No\u00F76133
Jian-Fong Liou\u00F7No\u00F76133
Yi-Tsen Ku\u00F7No\u00F76133
Cheng-Chieh Yu\u00F7No\u00F76133
Xin Chen 0012\u00F7Yes\u00F76134
Jie Hu 0013\u00F7No\u00F76134
Min Wu 0002\u00F7No\u00F76134
Weihua Cao\u00F7No\u00F76134
Yu-Jen Chen\u00F7Yes\u00F76135
Ming-Yi Ju\u00F7No\u00F76135
Kao-Shing Hwang\u00F7No\u00F76135
Qi Chen\u00F7Yes\u00F76136
Wei Li 0006\u00F7No\u00F76136
Genshe Chen\u00F7No\u00F76136
Shaohua Chen\u00F7Yes\u00F76137
Gang Liu\u00F7No\u00F76137
Lianqing Zhu\u00F7No\u00F76137
Dong Chen\u00F7Yes\u00F76138
Yizhe Xu\u00F7No\u00F76138
Alex Q. Huang\u00F7No\u00F76138
Xuechao Chen\u00F7Yes\u00F76139
Zhangguo Yu\u00F7No\u00F76139
Weimin Zhang\u00F7No\u00F76139
Yu Zheng\u00F7No\u00F76139
Qiang Huang\u00F7No\u00F76139
Aiguo Ming\u00F7No\u00F76139
Jian-Xin Chen\u00F7Yes\u00F76140
Yang Zhan\u00F7No\u00F76140
Wei Qin\u00F7No\u00F76140
Zhi-Hua Bao\u00F7No\u00F76140
Zhenghua Chen\u00F7Yes\u00F76141
Rui Zhao 0004\u00F7No\u00F76141
Qingchang Zhu\u00F7No\u00F76141
Mustafa K. Masood\u00F7No\u00F76141
Yeng Chai Soh\u00F7No\u00F76141
Kezhi Mao\u00F7No\u00F76141
Ming Cheng 0001\u00F7Yes\u00F76142
Peng Han\u00F7No\u00F76142
Wei Hua\u00F7No\u00F76142
Tinghai Cheng\u00F7Yes\u00F76143
Meng He 0007\u00F7No\u00F76143
Hengyu Li\u00F7No\u00F76143
Xiaohui Lu\u00F7No\u00F76143
Hongwei Zhao\u00F7No\u00F76143
Haibo Gao\u00F7No\u00F76143
Long Cheng 0001\u00F7Yes\u00F76144
Weichuan Liu\u00F7No\u00F76144
Zeng-Guang Hou\u00F7No\u00F76144
Tingwen Huang\u00F7No\u00F76144
Junzhi Yu\u00F7No\u00F76144
Min Tan 0001\u00F7No\u00F76144
Min Cheng\u00F7Yes\u00F76145
Bing Xu 0005\u00F7No\u00F76145
Junhui Zhang\u00F7No\u00F76145
Ruqi Ding\u00F7No\u00F76145
Jaya Venkata Phani Sekhar Chennu\u00F7Yes\u00F76146
Ramkrishan Maheshwari\u00F7No\u00F76146
Helong Li\u00F7No\u00F76146
Zheng Jun Chew\u00F7Yes\u00F76147
Tingwen Ruan\u00F7No\u00F76147
Meiling Zhu\u00F7No\u00F76147
Marise Bafleur\u00F7No\u00F76147
Jean-Marie Dilhac\u00F7No\u00F76147
Pei-Yu Chiang\u00F7Yes\u00F76148
Paul C.-P. Chao\u00F7No\u00F76148
Der-Cherng Tarng\u00F7No\u00F76148
Chih-Yu Yang\u00F7No\u00F76148
Vun Jack Chin\u00F7Yes\u00F76149
Zainal Salam\u00F7No\u00F76149
Kashif Ishaque\u00F7No\u00F76149
Subin Choi\u00F7Yes\u00F76150
Dae Jung Kim\u00F7No\u00F76150
Yun Young Choi\u00F7No\u00F76150
Kyeonghwan Park\u00F7No\u00F76150
Sung-Woo Kim\u00F7No\u00F76150
Sung Hun Woo\u00F7No\u00F76150
Jae Joon Kim\u00F7No\u00F76150
Alexandre Christe\u00F7Yes\u00F76151
Drazen Dujic\u00F7No\u00F76151
Hongqing Chu\u00F7Yes\u00F76152
Bingzhao Gao\u00F7No\u00F76152
Wanli Gu\u00F7No\u00F76152
Hong Chen 0003\u00F7No\u00F76152
Andrii Chub\u00F7Yes\u00F76153
Oleksandr Husev\u00F7No\u00F76153
Andrei Blinov\u00F7No\u00F76153
Dmitri Vinnikov\u00F7No\u00F76153
Andrii Chub\u00F7Yes\u00F76154
Dmitri Vinnikov\u00F7No\u00F76154
Roman Kosenko\u00F7No\u00F76154
Elizaveta Liivik\u00F7No\u00F76154
Dongkyoung Chwa\u00F7Yes\u00F76155
Mario Collotta\u00F7Yes\u00F76156
Giovanni Pau 0002\u00F7No\u00F76156
Vincenzo Maniscalco\u00F7No\u00F76156
Octavian Cornea\u00F7Yes\u00F76157
Gheorghe-Daniel Andreescu\u00F7No\u00F76157
Nicolae Muntean\u00F7No\u00F76157
Dan Hulea\u00F7No\u00F76157
Levy Ferreira Costa\u00F7Yes\u00F76158
Giampaolo Buticchi\u00F7No\u00F76158
Marco Liserre\u00F7No\u00F76158
Bruno Leandro Galvao Costa\u00F7Yes\u00F76159
Vinicius Dario Bacon\u00F7No\u00F76159
Sérgio Augusto Oliveira da Silva\u00F7No\u00F76159
Bruno Augusto Angélico\u00F7No\u00F76159
Ronaldo P. Coutinho\u00F7Yes\u00F76160
Kleber C. A. de Souza\u00F7No\u00F76160
Fernando L. M. Antunes\u00F7No\u00F76160
Edilson Mineiro Sa\u00F7No\u00F76160
Michele Cucuzzella\u00F7Yes\u00F76161
Gian Paolo Incremona\u00F7No\u00F76161
Antonella Ferrara\u00F7No\u00F76161
Rongxin Cui\u00F7Yes\u00F76162
Lepeng Chen\u00F7No\u00F76162
Chenguang Yang\u00F7No\u00F76162
Mou Chen\u00F7No\u00F76162
Lingli Cui\u00F7Yes\u00F76163
Jinfeng Huang\u00F7No\u00F76163
Feibin Zhang\u00F7No\u00F76163
Han Cui\u00F7Yes\u00F76164
Khai D. T. Ngo\u00F7No\u00F76164
Peiling Cui\u00F7Yes\u00F76165
Qirui Wang\u00F7No\u00F76165
Sheng Li 0008\u00F7No\u00F76165
Qian Gao\u00F7No\u00F76165
Peiling Cui\u00F7Yes\u00F76166
Dachuan Zhang\u00F7No\u00F76166
Shan Yang\u00F7No\u00F76166
Haitao Li\u00F7No\u00F76166
Salvatore D&apos;Arco\u00F7Yes\u00F76167
Miguel Ochoa-Gimenez\u00F7No\u00F76167
Luigi Piegari\u00F7No\u00F76167
Pietro Tricoli\u00F7No\u00F76167
Gong-Bo Dai\u00F7Yes\u00F76168
Yen-Chen Liu\u00F7No\u00F76168
Fardin Dalvand\u00F7Yes\u00F76169
Satar Dalvand\u00F7No\u00F76169
Fatemeh Sharafi\u00F7No\u00F76169
Michael G. Pecht\u00F7No\u00F76169
Zhigang Dang\u00F7Yes\u00F76170
Jaber A. Abu-Qahouq\u00F7No\u00F76170
Linh Dang\u00F7Yes\u00F76171
Nicolas Bernard\u00F7No\u00F76171
Nicolas Bracikowski\u00F7No\u00F76171
Gérard Berthiau\u00F7No\u00F76171
Ahmad Darabi\u00F7Yes\u00F76172
Hamed Tahanian\u00F7No\u00F76172
Shayan Amani\u00F7No\u00F76172
Mohammadreza Sedghi\u00F7No\u00F76172
Partha Pratim Das\u00F7Yes\u00F76173
Souvik Chattopadhayay\u00F7No\u00F76173
Manas Palmal\u00F7No\u00F76173
Mohammad Ramezani Delshad\u00F7Yes\u00F76174
Mohammad Rezanejad\u00F7No\u00F76174
Abdolreza Sheikholeslami\u00F7No\u00F76174
Maria Dems\u00F7Yes\u00F76175
Krzysztof Komeza\u00F7No\u00F76175
Fang Deng\u00F7Yes\u00F76176
Shengpan Guan\u00F7No\u00F76176
Xianghu Yue\u00F7No\u00F76176
Xiaodan Gu\u00F7No\u00F76176
Jie Chen\u00F7No\u00F76176
Jianyao Lv\u00F7No\u00F76176
Jiahong Li\u00F7No\u00F76176
Qijun Deng\u00F7Yes\u00F76177
Jiangtao Liu\u00F7No\u00F76177
Dariusz Czarkowski\u00F7No\u00F76177
Wenshan Hu\u00F7No\u00F76177
Hong Zhou\u00F7No\u00F76177
Hua Deng\u00F7Yes\u00F76178
Jiehua Luo\u00F7No\u00F76178
Xiao-Gang Duan\u00F7No\u00F76178
Guoliang Zhong\u00F7No\u00F76178
Fang Deng\u00F7Yes\u00F76179
Huangbin Qiu\u00F7No\u00F76179
Jie Chen\u00F7No\u00F76179
Lu Wang\u00F7No\u00F76179
Bo Wang\u00F7No\u00F76179
Zhi-Hong Deng\u00F7Yes\u00F76180
Mu Sun\u00F7No\u00F76180
Bo Wang 0013\u00F7No\u00F76180
Mengyin Fu\u00F7No\u00F76180
Yan Deng\u00F7Yes\u00F76181
Yong Tao\u00F7No\u00F76181
Guipeng Chen\u00F7No\u00F76181
Guangdi Li\u00F7No\u00F76181
Xiangning He\u00F7No\u00F76181
Hua Deng\u00F7Yes\u00F76182
Yi Zhang\u00F7No\u00F76182
Xiao-Gang Duan\u00F7No\u00F76182
Nicolas Denis\u00F7Yes\u00F76183
Shunya Odawara\u00F7No\u00F76183
Keisuke Fujisaki\u00F7No\u00F76183
Matias Diaz\u00F7Yes\u00F76184
Roberto Cárdenas\u00F7No\u00F76184
Mauricio Espinoza\u00F7No\u00F76184
Felix Rojas\u00F7No\u00F76184
Andres Mora\u00F7No\u00F76184
Jon C. Clare\u00F7No\u00F76184
Pat Wheeler\u00F7No\u00F76184
Shihong Ding\u00F7Yes\u00F76185
Lu Liu\u00F7No\u00F76185
Wei Xing Zheng\u00F7No\u00F76185
Shumin Ding\u00F7Yes\u00F76186
Faqiang Wang\u00F7No\u00F76186
Wen Ding\u00F7Yes\u00F76187
Shuai Yang\u00F7No\u00F76187
Yanfang Hu\u00F7No\u00F76187
Shuai Li 0008\u00F7No\u00F76187
Tao Wang\u00F7No\u00F76187
Zhonggang Yin\u00F7No\u00F76187
Shane Dominic\u00F7Yes\u00F76188
Yannik Lohr\u00F7No\u00F76188
Andreas Schwung\u00F7No\u00F76188
Steven X. Ding\u00F7No\u00F76188
Fei Dong\u00F7Yes\u00F76189
Xusheng Lei\u00F7No\u00F76189
Wusheng Chou\u00F7No\u00F76189
Huanfeng Dong\u00F7Yes\u00F76190
Zheng Xu\u00F7No\u00F76190
Pengcheng Song\u00F7No\u00F76190
Geng Tang\u00F7No\u00F76190
Qian Xu\u00F7No\u00F76190
Liying Sun\u00F7No\u00F76190
Jianfei Dong\u00F7Yes\u00F76191
Guoqi Zhang\u00F7No\u00F76191
Xiwang Dong\u00F7Yes\u00F76192
Yan Zhou\u00F7No\u00F76192
Zhang Ren\u00F7No\u00F76192
Yisheng Zhong\u00F7No\u00F76192
Joachim Druant\u00F7Yes\u00F76193
Hendrik Vansompel\u00F7No\u00F76193
Frederik M. De Belie\u00F7No\u00F76193
Jan A. Melkebeek\u00F7No\u00F76193
Peter Sergeant\u00F7No\u00F76193
Joachim Druant\u00F7Yes\u00F76194
Hendrik Vansompel\u00F7No\u00F76194
Frederik De Belie\u00F7No\u00F76194
Peter Sergeant\u00F7No\u00F76194
Ruoyang Du\u00F7Yes\u00F76195
Paul Robertson\u00F7No\u00F76195
Jinhua Du\u00F7Yes\u00F76196
Yuntian Xue\u00F7No\u00F76196
Xintuan Yang\u00F7No\u00F76196
Feng Duan\u00F7Yes\u00F76197
Lili Dai\u00F7No\u00F76197
Xiaoming Duan\u00F7Yes\u00F76198
Chengcheng Zhao\u00F7No\u00F76198
Shibo He\u00F7No\u00F76198
Peng Cheng 0001\u00F7No\u00F76198
Junshan Zhang\u00F7No\u00F76198
Mario J. Durán\u00F7Yes\u00F76199
Ignacio Gonzalez Prieto\u00F7No\u00F76199
Federico Barrero\u00F7No\u00F76199
Emil Levi\u00F7No\u00F76199
Luca Zarri\u00F7No\u00F76199
Michele Mengoni\u00F7No\u00F76199
Tanima Dutta\u00F7Yes\u00F76200
Hari Prabhat Gupta\u00F7No\u00F76200
Javad Ebrahimi\u00F7Yes\u00F76201
Hamid Reza Karshenas\u00F7No\u00F76201
Amarendra Edpuganti\u00F7Yes\u00F76202
Akshay Kumar Rathore\u00F7No\u00F76202
Ahmed A. Elserougi\u00F7Yes\u00F76203
Ahmed M. Massoud\u00F7No\u00F76203
Shehab Ahmed\u00F7No\u00F76203
Rachid Errouissi\u00F7Yes\u00F76204
Ahmed Al-Durra\u00F7No\u00F76204
S. M. Muyeen\u00F7No\u00F76204
Mauricio Espinoza\u00F7Yes\u00F76205
Roberto Cárdenas\u00F7No\u00F76205
Matias Diaz\u00F7No\u00F76205
Jon C. Clare\u00F7No\u00F76205
Christophe Farges\u00F7Yes\u00F76206
Mathieu Chevrie\u00F7No\u00F76206
Jocelyn Sabatier\u00F7No\u00F76206
Laetitia Pradere\u00F7No\u00F76206
Franck Guillemard\u00F7No\u00F76206
Muhammed Fasil\u00F7Yes\u00F76207
Nenad Mijatovic\u00F7No\u00F76207
Bogi Bech Jensen\u00F7No\u00F76207
Joachim Holboll\u00F7No\u00F76207
Chao Fei\u00F7Yes\u00F76208
Fred C. Lee\u00F7No\u00F76208
Qiang Li\u00F7No\u00F76208
Yanqiong Fei\u00F7Yes\u00F76209
Hongwei Xu\u00F7No\u00F76209
Guodong Feng\u00F7Yes\u00F76210
Chunyan Lai\u00F7No\u00F76210
Narayan C. Kar\u00F7No\u00F76210
Guodong Feng\u00F7Yes\u00F76211
Chunyan Lai\u00F7No\u00F76211
Narayan C. Kar\u00F7No\u00F76211
Ling Feng\u00F7Yes\u00F76212
Yong Wang\u00F7No\u00F76212
Manuel Fernandez\u00F7Yes\u00F76213
Xavier Perpiñà\u00F7No\u00F76213
Jaume Roig-Guitart\u00F7No\u00F76213
Miquel Vellvehí\u00F7No\u00F76213
Filip Bauwens\u00F7No\u00F76213
Marnix Tack\u00F7No\u00F76213
Xavier Jordà\u00F7No\u00F76213
Nuwantha Fernando\u00F7Yes\u00F76214
Gaurang Vakil\u00F7No\u00F76214
Puvan Arumugam\u00F7No\u00F76214
Emmanuel Amankwah\u00F7No\u00F76214
Chris Gerada\u00F7No\u00F76214
Serhiy Bozhko\u00F7No\u00F76214
Mattia Filippini\u00F7Yes\u00F76215
Piergiorgio Alotto\u00F7No\u00F76215
Michael Flankl\u00F7Yes\u00F76216
Arda Tuysuz\u00F7No\u00F76216
Johann W. Kolar\u00F7No\u00F76216
Daniel Fodorean\u00F7Yes\u00F76217
Lhassane Idoumghar\u00F7No\u00F76217
Mathieu Brévilliers\u00F7No\u00F76217
Paul Minciunescu\u00F7No\u00F76217
Cristi Irimia\u00F7No\u00F76217
Yat Chi Fong\u00F7Yes\u00F76218
Ka Wai Eric Cheng\u00F7No\u00F76218
Yuanmao Ye\u00F7No\u00F76218
Yin Chun Chan\u00F7No\u00F76218
Zito Palhano da Fonseca\u00F7Yes\u00F76219
Arnaldo José Perin\u00F7No\u00F76219
Eloi Agostini Junior\u00F7No\u00F76219
Claudinor Bitencourt Nascimento\u00F7No\u00F76219
Attilio Frangi\u00F7Yes\u00F76220
Andrea Guerrieri\u00F7No\u00F76220
Roberto Carminati\u00F7No\u00F76220
Gianluca Mendicino\u00F7No\u00F76220
Tan Kheng Suan Freddy\u00F7Yes\u00F76221
June-Hee Lee\u00F7No\u00F76221
Hyun-Cheol Moon\u00F7No\u00F76221
Kyo-Beum Lee\u00F7No\u00F76221
Nasrudin Abd. Rahim\u00F7No\u00F76221
Susanna Vital de Campos de Freitas\u00F7Yes\u00F76222
Fabiano Cezar Domingos\u00F7No\u00F76222
Rashid Mirzavand\u00F7No\u00F76222
Adam Maunder\u00F7No\u00F76222
Parinaz Naseri\u00F7No\u00F76222
Pedram Mousavi\u00F7No\u00F76222
Qiang Fu 0007\u00F7Yes\u00F76223
Quan Quan\u00F7No\u00F76223
Kai-Yuan Cai\u00F7No\u00F76223
You Fu\u00F7Yes\u00F76224
Zhen Wang\u00F7No\u00F76224
Zhiqiang Wang\u00F7No\u00F76224
Ninghui Wang\u00F7No\u00F76224
Xiaochen Wang\u00F7No\u00F76224
Carlos D. Fuentes\u00F7Yes\u00F76225
Christian A. Rojas\u00F7No\u00F76225
Hugues Renaudineau\u00F7No\u00F76225
Samir Kouro\u00F7No\u00F76225
Marcelo A. Pérez\u00F7No\u00F76225
Thierry Meynard\u00F7No\u00F76225
Giuseppe Fusco\u00F7Yes\u00F76226
Mario Russo\u00F7No\u00F76226
Shlomo Yaakov Gadelovits\u00F7Yes\u00F76227
Qing-Chang Zhong\u00F7No\u00F76227
Visakan Kadirkamanathan\u00F7No\u00F76227
Alon Kuperman\u00F7No\u00F76227
Luis M. Gallegos-Canales\u00F7Yes\u00F76228
Antonio Favela-Contreras\u00F7No\u00F76228
Alfonso Avila\u00F7No\u00F76228
Sergio Omar Martinez-Chapa\u00F7No\u00F76228
Leong Kit Gan\u00F7Yes\u00F76229
Jonathan K. H. Shek\u00F7No\u00F76229
Markus A. Mueller\u00F7No\u00F76229
Leong Kit Gan\u00F7Yes\u00F76230
Jonathan K. H. Shek\u00F7No\u00F76230
Markus A. Mueller\u00F7No\u00F76230
Fei Gao 0004\u00F7Yes\u00F76231
Serhiy Bozhko\u00F7No\u00F76231
Alessandro Costabeber\u00F7No\u00F76231
Gregory M. Asher\u00F7No\u00F76231
Pat Wheeler\u00F7No\u00F76231
Huijun Gao\u00F7Yes\u00F76232
Wanxin Jin\u00F7No\u00F76232
Xianqiang Yang\u00F7No\u00F76232
Okyay Kaynak\u00F7No\u00F76232
Fei Gao 0003\u00F7Yes\u00F76233
Kaushik Rajashekara\u00F7No\u00F76233
Giuseppe Buja\u00F7No\u00F76233
Tomas Alberto Garcia-Calva\u00F7Yes\u00F76234
Daniel Morinigo-Sotelo\u00F7No\u00F76234
René de Jesús Romero-Troncoso\u00F7No\u00F76234
Gerardo Soria García\u00F7Yes\u00F76235
Gerardo E. Altamirano-Gómez\u00F7No\u00F76235
Susana Ortega-Cisneros\u00F7No\u00F76235
Eduardo Bayro-Corrochano\u00F7No\u00F76235
Raymundo C. Garcia\u00F7Yes\u00F76236
João O. P. Pinto\u00F7No\u00F76236
Walter Issamu Suemitsu\u00F7No\u00F76236
Jurandir O. Soares\u00F7No\u00F76236
Cristian F. Garcia\u00F7Yes\u00F76237
Marco E. Rivera\u00F7No\u00F76237
José R. Rodríguez\u00F7No\u00F76237
Pat Wheeler\u00F7No\u00F76237
Rubén S. Peña\u00F7No\u00F76237
Hatem Garrab\u00F7Yes\u00F76238
Atef Jedidi\u00F7No\u00F76238
Hervé Morel\u00F7No\u00F76238
Kamel Besbes\u00F7No\u00F76238
Shivam Prakash Gautam\u00F7Yes\u00F76239
Lalit Kumar\u00F7No\u00F76239
Shubhrata Gupta\u00F7No\u00F76239
Nitesh Agrawal\u00F7No\u00F76239
Vasav Gautam\u00F7Yes\u00F76240
Parthasarathi Sensarma\u00F7No\u00F76240
Ting Ge\u00F7Yes\u00F76241
Brian Carpenter\u00F7No\u00F76241
Khai D. T. Ngo\u00F7No\u00F76241
Xiaohua Ge\u00F7Yes\u00F76242
Qing-Long Han\u00F7No\u00F76242
Xiaohua Ge\u00F7Yes\u00F76243
Qing-Long Han\u00F7No\u00F76243
Fuwen Yang\u00F7No\u00F76243
Quanbo Ge\u00F7Yes\u00F76244
Teng Shao\u00F7No\u00F76244
Shaodong Chen\u00F7No\u00F76244
Chenglin Wen\u00F7No\u00F76244
Ting Ge\u00F7Yes\u00F76245
Yi Yan\u00F7No\u00F76245
Guo-Quan Lu\u00F7No\u00F76245
Khai D. T. Ngo\u00F7No\u00F76245
Boby George\u00F7Yes\u00F76246
Zhichao Tan\u00F7No\u00F76246
Stoyan N. Nihtianov\u00F7No\u00F76246
Mohammad Moradi Ghahderijani\u00F7Yes\u00F76247
Miguel Castilla\u00F7No\u00F76247
Arash Momeneh\u00F7No\u00F76247
Jaume Tomas Miret\u00F7No\u00F76247
Luis García de Vicuña\u00F7No\u00F76247
Mousam Ghosh\u00F7Yes\u00F76248
Suman Ghosh\u00F7No\u00F76248
Pradip Kumar Saha\u00F7No\u00F76248
Goutam Kumar Panda\u00F7No\u00F76248
Santu Kr. Giri\u00F7Yes\u00F76249
Sibaprasad Chakrabarti\u00F7No\u00F76249
Subrata Banerjee\u00F7No\u00F76249
Chandan Chakraborty\u00F7No\u00F76249
Zbigniew Gmyrek\u00F7Yes\u00F76250
Marcin Lefik\u00F7No\u00F76250
Chiew Loon Goh\u00F7Yes\u00F76251
Ruzairi Abdul Rahim\u00F7No\u00F76251
Fazalul Rahiman Hafiz\u00F7No\u00F76251
Zhen Cong Tee\u00F7No\u00F76251
Saeed Golestan\u00F7Yes\u00F76252
Esmaeil Ebrahimzadeh\u00F7No\u00F76252
Josep M. Guerrero\u00F7No\u00F76252
Juan C. Vasquez\u00F7No\u00F76252
Frede Blaabjerg\u00F7No\u00F76252
Saeed Golestan\u00F7Yes\u00F76253
Josep M. Guerrero\u00F7No\u00F76253
Abdullah Abusorrah\u00F7No\u00F76253
Mohammed M. Al-Hindawi\u00F7No\u00F76253
Yusuf Al-Turki\u00F7No\u00F76253
Saeed Golestan\u00F7Yes\u00F76254
Josep M. Guerrero\u00F7No\u00F76254
Juan Carlos Vasquez\u00F7No\u00F76254
Saeed Golestan\u00F7Yes\u00F76255
Josep M. Guerrero\u00F7No\u00F76255
Juan Carlos Vasquez\u00F7No\u00F76255
Jose Angel Ortiz Gonzalez\u00F7Yes\u00F76256
Olayiwola Alatise\u00F7No\u00F76256
Attahir Murtala Aliyu\u00F7No\u00F76256
Pushparajah Rajaguru\u00F7No\u00F76256
Alberto Castellazzi\u00F7No\u00F76256
Li Ran\u00F7No\u00F76256
Philip Mawby\u00F7No\u00F76256
Chris Bailey\u00F7No\u00F76256
Ivan R. S. Gregori\u00F7Yes\u00F76257
Ivandro Sanches\u00F7No\u00F76257
Carlos E. Thomaz\u00F7No\u00F76257
Yasser Gritli\u00F7Yes\u00F76258
Claudio Rossi 0002\u00F7No\u00F76258
Domenico Casadei\u00F7No\u00F76258
Fiorenzo Filippetti\u00F7No\u00F76258
Gérard-André Capolino\u00F7No\u00F76258
Michael Grubmuller\u00F7Yes\u00F76259
Bernhard Schweighofer\u00F7No\u00F76259
Hannes Wegleiter\u00F7No\u00F76259
Ke Gu\u00F7Yes\u00F76260
Leida Li\u00F7No\u00F76260
Hong Lu 0008\u00F7No\u00F76260
Xiongkuo Min\u00F7No\u00F76260
Weisi Lin\u00F7No\u00F76260
Yueshi Guan\u00F7Yes\u00F76261
Yijie Wang\u00F7No\u00F76261
Wei Wang 0103\u00F7No\u00F76261
Dianguo Xu\u00F7No\u00F76261
Akhila Gundavarapu\u00F7Yes\u00F76262
Himanshu Misra\u00F7No\u00F76262
Amit Kumar Jain\u00F7No\u00F76262
Xiaoqiang Guo\u00F7Yes\u00F76263
Wenzhao Liu\u00F7No\u00F76263
Zhigang Lu\u00F7No\u00F76263
Yue Guo\u00F7Yes\u00F76264
Sebastiano Schutz\u00F7No\u00F76264
Alessandro Vaghi\u00F7No\u00F76264
Yu-Hung Li\u00F7No\u00F76264
Zhiqiang Guo\u00F7No\u00F76264
Fu-Kuo Chang\u00F7No\u00F76264
Diego Barrettino\u00F7No\u00F76264
Shan X. Wang\u00F7No\u00F76264
Fan Guo\u00F7Yes\u00F76265
Ouyang Wu\u00F7No\u00F76265
Yongsheng Ding\u00F7No\u00F76265
Biao Huang\u00F7No\u00F76265
Qing Guo 0003\u00F7Yes\u00F76266
Jingmin Yin\u00F7No\u00F76266
Tian Yu\u00F7No\u00F76266
Dan Jiang\u00F7No\u00F76266
Zongyi Guo\u00F7Yes\u00F76267
Jun Zhou\u00F7No\u00F76267
Jianguo Guo\u00F7No\u00F76267
Jérôme Cieslak\u00F7No\u00F76267
Jing Chang\u00F7No\u00F76267
Hazem Hadla\u00F7Yes\u00F76268
Sergio Cruz\u00F7No\u00F76268
Amir Hakemi\u00F7Yes\u00F76269
Majid Sanatkar-Chayjani\u00F7No\u00F76269
Mohammad Monfared\u00F7No\u00F76269
Hany A. Hamed\u00F7Yes\u00F76270
Ahmed F. Abdou\u00F7No\u00F76270
Ehab H. E. Bayoumi\u00F7No\u00F76270
E. E. EL-Kholy\u00F7No\u00F76270
Peng Han\u00F7Yes\u00F76271
Ming Cheng 0001\u00F7No\u00F76271
Yunlei Jiang\u00F7No\u00F76271
Zhe Chen 0007\u00F7No\u00F76271
Wei Han 0007\u00F7Yes\u00F76272
K. T. Chau\u00F7No\u00F76272
Zhen Zhang 0004\u00F7No\u00F76272
Yongsu Han\u00F7Yes\u00F76273
Jung-Ik Ha\u00F7No\u00F76273
Seong Ik Han\u00F7Yes\u00F76274
Jang Myung Lee\u00F7No\u00F76274
Di Han\u00F7Yes\u00F76275
Silong Li\u00F7No\u00F76275
Yujiang Wu\u00F7No\u00F76275
Wooyoung Choi\u00F7No\u00F76275
Bulent Sarlioglu\u00F7No\u00F76275
Di Han\u00F7Yes\u00F76276
Casey T. Morris\u00F7No\u00F76276
Bulent Sarlioglu\u00F7No\u00F76276
Jianda Han\u00F7Yes\u00F76277
Junfeng Xiong\u00F7No\u00F76277
Yuqing He\u00F7No\u00F76277
Feng Gu\u00F7No\u00F76277
Decai Li\u00F7No\u00F76277
Bangcheng Han\u00F7Yes\u00F76278
Shiqiang Zheng\u00F7No\u00F76278
Haitao Li\u00F7No\u00F76278
Qiang Liu\u00F7No\u00F76278
M. A. Hannan\u00F7Yes\u00F76279
Jamal Abd Ali\u00F7No\u00F76279
Azah Mohamed\u00F7No\u00F76279
Mohammad Nasir Uddin\u00F7No\u00F76279
Lennart Harnefors\u00F7Yes\u00F76280
Raphael Finger\u00F7No\u00F76280
Xiongfei Wang\u00F7No\u00F76280
Haofeng Bai\u00F7No\u00F76280
Frede Blaabjerg\u00F7No\u00F76280
Adnan Hassan\u00F7Yes\u00F76281
Armin Bijanzad\u00F7No\u00F76281
Ismail Lazoglu\u00F7No\u00F76281
Hossein Hassani\u00F7Yes\u00F76282
Jafar Zarei\u00F7No\u00F76282
Mohammad Mehdi Arefi\u00F7No\u00F76282
Roozbeh Razavi-Far\u00F7No\u00F76282
Ikram Maaoui-Ben Hassine\u00F7Yes\u00F76283
Mohamed Wissem Naouar\u00F7No\u00F76283
Najiba Mrabet Bellaaj\u00F7No\u00F76283
Wei He 0001\u00F7Yes\u00F76284
Xiuyu He\u00F7No\u00F76284
Changyin Sun\u00F7No\u00F76284
Jiangbiao He\u00F7Yes\u00F76285
Ramin Katebi\u00F7No\u00F76285
Nathan Weise\u00F7No\u00F76285
Jinwei He\u00F7Yes\u00F76286
Yunwei Li\u00F7No\u00F76286
Beihua Liang\u00F7No\u00F76286
