:START_ID(Author);:END_ID(Articles)
Faye Cameron;2705
Pan-Ping Liu;8620
Paulo Régis C. de Araújo;13219
Dan Lu;14197
Han Young Woo;19219
Min Gao;11578
Lianbo Ma;11810
Manchun Li;15053
Ying Xie;2567
Alexander Antonov;12630
Songita Choudhury;18146
Yang Wu;19602
Teruo Higashino;16266
Levent Acar;8878
Zeeshan Aleem;365
Jikun Zhao;19241
Lavinia Mihaela Dinca;9079
Bernd Hitzmann;5637
Robson B. Gonzatti;553
Annalisa Bonfiglio;19537
Meng Guo;15123
Jesús Cardesín Miranda;9443
Snehal Pachpor;3484
Wenquan Li;10239
Xia Ai;3826
Maruf Pasha;6778
Xue-Jun Li;15041
Micaela Troglia Gamba;9443
M. Goreti F. Sales;18874
Zhipeng Xing;13371
Keunhong Chae;14918
Luigi Mandrich;7287
Mohammed Adam Kunna Azrag;4003
Hadi Mat Rosly;8155
Hantao Li;19031
Qiao Yue;15313
Yi Lu;19681
Davide Lauria;1136
Angela Valvo;3282
Mihaela Badea Doni;16976
Chen Liu 0002;17274
Ryu Miura;12058
Domenico M. Cavallo;2186
NingYi Dai;19553
Daeyoung Park;5833
Hai-lin Cao;7114
Nicola Bianchi;13418
Xiping Hu;7368
M. P. Biswal;725
Marcin Kaluza;4043
Il-Oun Lee;8493
Kwangtaek Kim;11570
Lixing Fan;15342
Peng Chen 0007;15103
S. Hina;13549
Ximei Yu;14075
Tomas Ceponis;7433
Alain Vande Wouwer;7915
Virginia Saez-Martinez;2277
Willibald Reitmeier;9640
Hock Soon Seah;11770
Roozbeh Atri;12493
Marco Osvaldo Vigueras-Zuñiga;11887
K. V. S. Hari;11059
Guohun Zhu;19153
Dae Y. Kang;6819
Tongxing Li;7716
Zongxia Jiao;11033
A. Y. M. Atiquil Islam;8254
Song Yu;10754
Teodiano Freire Bastos Filho;6060
Radu Danescu;2556
Lijun Wang;7048
Eun-Jung Choi;18307
Afrah A. N. Abdou;19301
Martin Riera-Guasp;19884
Tobias Boxberger;15119
Massimo Villari;446
Javier Ferreira;17055
Mingyu Fu;6197
Nasrin Afsarimanesh;6012
Xin Xu;15417
Vadym Aizinger;1791
Noureddine Harid;7430
Ke Wang 0014;15488
Fuad E. Alsaadi;135
Sjoerd van den Dries;19650
Kefeng Ji;6569
Tae-Jin Lee;1357
Zubair Md. Fadlullah;9918
Xiong Du;11700
Omar Maraqa;10671
Jean-Louis Auguste;5149
Ibrahim Sefa;11270
Chao-Chang Chiu;18825
Zhijun Ding;7936
Patricio Oyarzún;18094
Hiroshi Nakazato;11732
Benfei Wang;16230
Jesús de León 0001;13875
Kyung-Joon Park;18526
Cheng Li;17892
Filippo Cugini;19825
Xiaocan Wang;13252
Rakesh Kumar Jha;3823
Charalampos Kalalas;17765
Yihang Du;14533
Wensheng Lin;14897
Franck Plestan;4124
Yi-Fei Pu;11351
Toshihiko Ota;17451
Giampaolo Ferraioli;7459
Chao-Yang Chen;14698
Vishal M. Patel;15535
Shahzad Asif;6644
Jean-Paul Rivals;14323
Yujun Cheng;19688
Pedro José Marrón;5479
Namju Jeon;4040
Fadi Al Machot;2179
Na Han;4889
Karaputugala Madushan Thilina;11649
Arja Kullaa;5921
Jianchao Chen;5870
Yeong-Seung Jeong;4255
Weilin Li;13069
Michelle Sergent;4191
Zongyang Shi;15731
Miriam Aragó;1509
Song Cheng;14780
Antonio Lagudi;16562
Claudia Campolo;16286
Ling Xing;12476
Yue Zhang;860
Chaogang Tang;4215
Yong Ouyang;10877
Tarek Elsaleh;14848
Wen-Yan Qu;12076
Liangjian Hu;15085
Jun Hui Park;19638
Ardalan Vahidi;13758
Deepak G. C.;17615
Ashraf Afifi;9646
Mahesh P. Abegaonkar;11987
Kirill Mechitov;8885
Ivan Zoric;18412
Shamala Subramaniam;16293
Gunther Notni;4768
Kamen Ivanov;12726
Xiaoxu Kang;2551
Cheng Gong;5465
Jiahui Chen;2810
Marnix Tack;429
Masaaki Harada;6061
Carlo Cappello;9914
R. Mark Nelms;16473
Yutaka Nonomura;14127
Chun-xia Dou;17044
Kashif Sharif;15150
Rabia Riaz;7962
Beichen Li;5487
Richard W. Ziolkowski;1782
Steve Klopman;7668
Pengzhou Shi;11883
Jia Di;2139
Mengru Xue;1516
Shih-Yu Kuo;3388
Krishnendu Chakrabarty;11040
Alexander Kuznetsov;15364
Georgios Niarchos;6093
Jose A. Marmolejo Saucedo;7020
Junzhou Luo;13632
Shuhong Jiao;12547
Bryan Palmintier;1399
Tao Xie;8481
Wei Wei 0009;3744
Jie Cheng;15617
Jin-Lei Wu;9862
Yurii Dzhezherya;1169
Duyen Thi Ngoc Huynh;16982
Martins Ezuma;16206
Lorenzo Crocco;12064
Soledad Escolar;15356
Cong Wang 0007;6460
Qiang Zhu;472
Jisun Lee;3308
Guanru Yang;17909
Michele Crispoltoni;8468
Kyumin Kim;8003
Rachid Outbib;13148
Muhammad Ammad-udin;949
Andres Ulloa Schmeisser;897
Shuoming Li;17990
Chiu-Yu Cheng;10959
Guo Chen;13927
Zhi Yang;19600
Xin Guan;14471
Hyun-Kyung Lee;19563
Haishun Sun;16458
Joël Agnus;19389
Qibo Yang;9848
Lei Zhang 0076;18600
Hongkai Jiang;3566
Ygo N. Batista;41
Zichen Chen;10522
Guangyi Liu;1356
Albert Y. Zomaya;4312
Martin Valtierra-Rodriguez;13175
Sun-Joon Min;5945
Siti Zaiton Mohd Hashim;15588
Scott A. Trammell;9936
Petr Ilgner;10380
Yuichi Motai;6909
Zoran Hadzi-Velkov;17416
Gourab Das;19587
Li Lin;18101
Maria J. Gallardo-Nelson;12597
Ali Daud;11138
Nam-Chul Choi;19251
Manousos A. Klados;3121
Huawei Liang;8903
Reinhard Niessner;16486
José Manuel Cano-García;15174
Hesong Shen;4543
Atílio Gameiro;1541
Jing Jiang;13740
Qurat-ul Ain;1326
Soummya Kar;13688
W. Geelen;10346
Iván Maza;161
Ti-wen Tang;9471
Jinchi Han;13139
Victor Yurievich Korolev;15598
Peter Mooney;10906
Guoda Tian;19613
Binbin Yong;11085
Shangli Wang;9010
Siguang Chen;7333
Yusuke Tahara;9110
Jun Liu 0024;15905
Yuanyuan Shang;12766
Jordi Castellvi Esturi;2879
Fran Fabra;14021
Xuan Zhou;19711
Marisol García-Valls;16217
Verónica-María Rodríguez-Betancourtt;5184
Shu Cai;6537
En Zhang;18112
Laxminarayan Thorat;19420
Jie Tang;846
Tiago P. Nascimento;4281
Ferney A. Beltrán-Molina;19901
Lil María Rodríguez-Henríquez;19639
Debbie S. Silvester;2369
Zbigniew Kopertowski;13264
Lieshu Tong;13665
Muhammad Waseem Anwar;4859
Paulo Simões 0001;19735
Venkata Ravi Kishore Kanamarlapudi;17637
Wu Chen 0002;16564
Jianlan Wu;16440
James Avery;16744
Cuiqun Chen;2976
Bongsoo Jang;17786
Dietrich Haubenberger;14556
Amr M. Amin;7017
Kai-Lung Hua;12955
Matjaz Gams;4231
Victor B. Kazantsev;3997
Edgar Sánchez-Sinencio;19728
Andrea Leonardo Lacaita;18636
Daqing Jiang;18074
Edoardo Dotti;19344
Joong-Ho Song;10761
Hong-Ze Gong;6564
Nuno Gracias;8563
Chengyu Guo;9344
Jun Wang 0002;4702
Yue Quan;10266
Lili Dong;17464
Ming-Yi Ju;15971
Hong Zhao;17253
Jamshid Farifteh;1293
Douglas D. Hodson;12667
Yukun Yuan;6951
Min-Cheol Kim;2290
Sébastien Alzuaga;3450
Jean Kyung Paik;15788
Xuena Zhang;5727
JongSuk Lim;16604
Alfonso Romero;3402
Mustafa Altun;15632
Krzysztof Zawirski;4701
Zhenhong Li;14617
Georg F. Lauss;16156
Paulo R. F. Cunha;18402
Sheng-Po Chang;6231
David E. Thompson 0001;15057
Yun Yang;2444
Taifu Li;12866
Fen Hou;14399
Disi Chen;3025
Jian-Xin Xu 0001;18247
Emmanuel Schaeffer;13856
Giacomo Insero;12592
Mizuo Maeda;7752
José María Armingol;3142
Lu Liu 0002;18444
Xiangwei Xing;2777
Xuemin Shen;13816
Fei Chu;1970
Sainan Yang;6479
Peng Wang;6582
Chankil Lee;7881
María Carmen Horrillo;2149
Qasim Ali 0002;17419
Feng Guo;2273
Junwei Liu;5346
Jani Alho;17512
Qiuyan Wang;15615
Qobad Shafiee;8996
Reuben Kirkham;18643
Longjiang Li;2973
Aino Manninen;18728
Ivan R. Medvedev;18706
Muhammad Hassan;14773
Anbin Xiong;3938
Shengzhao Pang;9546
Shengjie Xu;5249
Jesús Chacon;5129
Riccardo Barberi;16397
Evgeniy Yablokov;4046
Bo-Han Liu;19882
José F. Salmerón;17244
Aritz Ozcariz;10732
Yoshiyuki Iso;3533
Jian Ping Xu;3089
Young-Jin Kim;10491
Joseph A. Issa;15394
Fabio Pareschi;3259
Christopher J. Crabtree;17781
Chen Zhao;10137
Yichao Fan;10260
Constantinos Patsakis;4997
Jarred D. Saralecos;13040
Xiaojun Zhai;14330
Xihui Tang;247
Taeksoo Ji;10536
Nur Shamsiah Abdul Rahman;9173
Xiao-Yi Wang;5524
Kyoung Won Jang;5865
Bilal Hijazi;15229
Zhangjie Fu;12090
Mohammad Abdul Qadir;5110
Bahram Javidi;6773
Danping He;17414
Xianbin Wen;11983
François-Raymond Boyer;4181
Abdullahi Abubakar Mas&apos;ud;9439
Eric Lefevre;11190
Toan Thanh Le;8557
Francisco Vargas-Merino;18713
Wooseong Cho;11941
Omar A. Saraereh;16497
Laura Taffurelli;16930
Miguel Rodríguez-Pérez;14767
Oldrich Zmeskal;18652
Wen-I Wu;19067
Krista Carlson;18620
Spyridon V. Giannoutsos;2068
M. A. Razbani;14356
Santiago L. Rovere;4868
Yannick Francillette;10812
Yan Chen;2182
Junhong Ji;8743
Xiaohua Wu;2720
Raymond Foley;17834
Ling Tian;2176
Prabath J. Binduhewa;11162
Kevin K. Yum;3776
Shanzhi Xu;19165
Josue Ferri;8242
Dongming Feng;6314
Vicente Jimenez;3107
Deniz Cansen Kahraman;19301
Ruben Reiser;13560
Chengzong Li;1235
Honghui Wen;8500
Naida Ding;2357
Stepan Sutula;14379
Hong-Zhou Tan;15793
Mingliang Che;14854
Mohammed Joda Usman;14718
Gyungho Lee;10700
Ming Liu 0013;12998
Kai Jing;3735
Jorge Rodrigo Massing;398
Shafiq ur Réhman;12200
Alejandro Rodríguez-Gómez;10994
Seung Won Choi;17790
Jingmin Yin;15817
Jaime Cagigas;3781
Mingming Zhang;1437
Anatoli F. Ivanov;15820
Duong Trong Bui;3781
Kyle O&apos;Keefe;1117
Miao He;9069
Michael Catt;2930
David Kovár;16541
Herwin L. D. Horemans;17693
Masato Edahiro;18842
Nan Zhao 0005;13243
Sen Yan;17191
Naveen Gupta;16770
Jin Zhang;3868
Kazunori Hasegawa;18596
Andreas Jess;8520
Hiroki Ashiba;18990
Naai-Jung Shih;17063
Alberto Micco;16456
Wenbin Xu;1487
Peng Zhao 0003;3726
Zhiya Zhang;14515
Xingwang Li;13214
Ashraf Tahat;5127
Chieh-Ming Wu;7406
Youngho Park 0005;19572
Zhi-Yi Wei;1761
Peter S. Excell;12006
Vincenzo Carletti;19525
Yangkuan Guo;12148
Purim Ladpli;695
Tianliang Li;17060
Paolo Perego;604
Jandro L. Abot;1328
Yi Jin;5835
Devin Daems;1651
Shahrokh Saadate;11155
Dmitri Diener;3556
Liuliu Huang;14482
Marcos Portabella;16019
Xiaonan Zhao;19083
Marina Petrova;7397
Eugenio Ivorra;15380
Zhongliang Li;16505
Margaret J. Eppstein;12939
Pejhman Ghassemi;8137
Malte Doerpmond;8589
Yubing Liu;18450
Rafael Mellado;2848
Tuomas Messo;5574
Weiqiang Kong;7340
Olav Egeland;2464
Luiz Henrique Silva Colado Barreto;12099
Kang Zhang;13687
Yunwen Xu;18912
Miklós Dombos;17977
Juliane Mai;2265
Jonathan Muñoz;15384
Wei Gao 0010;14186
Jirí Cáp;13632
Yunchuan Sun;17919
Raphael Buiron;15835
Hamzah Arof;16545
Abbas Jamalipour;3122
Yuqi Guo;2020
Song Xiao;12893
Chan-Gun Lee;2780
Hong Xu;7427
Santiago Marco;3435
Simon Schönebaum;1811
Shudong Chen;3734
Paolo Jose Cesare Biselli;2562
Cheng Chen 0005;6882
Yuxin Jiang;3471
Yong-Cheng Wang;1973
Carmo P. Brás;2214
Zaijun Wu;17629
Liang Xiao 0003;18023
Samina Nawab;11111
Daisuke Matsuka;3912
Adolfo Lozano Tello;7957
Yucong Duan;10706
Xiaowei Liu 0002;13862
Yingyi Li;1185
Carla B. Zoltowski;6518
Ahmad Kakakhel;7502
Sibin Mohan;10073
Yingfu Guo;6155
Zhiyong Chen 0001;15988
Tae-Sung Jung;97
Peiguo Fu;13129
Omar M. Ramahi;5639
Jinghang Lu;2725
Chang Wen Chen;18684
Xianguo Gui;17775
Isabelle Planes;5619
Jan F. M. Van Impe;8748
Shaorong Wang;437
Lei Song;4850
Xinrong Ji;10515
Paolo Dario;12463
Zhibin Li;12016
William Lovegreen;2261
Changzhou Yu;9757
Stella Kafetzoglou;11614
Xinyu Yang;14747
Wonsub Choi;3277
Jiayi Zhang;6526
João José Costa Gondim;19906
Nemai C. Karmakar;12460
Linlin Hou;18319
Heng Qi;15897
Yuichi Watarai;9576
Dmitrij Lagutin;13039
Lifei Bai;1155
Shin-Gak Kang;1899
Abdul Hameed;989
Xin Sui;12549
Cheng Liang;3275
Hamza Chniter;9254
Tian Li 0001;3281
Md. Bellal Hossain;1802
Guoli Song;16074
Francis Mwasilu;16725
Yunbi Liu;11731
Ignace Loris;10423
Senentxu Lanceros-Mendez;19143
Hareesh-Reddy Basireddy;14246
Mao-Chien Chien;6595
Pengcheng Shen;8167
Kaushik Basu;1180
Han Wan;10984
Jungho Kang;17585
Walid Gaaloul;15490
Carlo Camerlingo;4270
Tao Geng;3037
Yu-Te Huang;19796
Rahim Samanbakhsh;15611
Long Wang 0001;16375
Mohammed Balfaqih;10579
Emil Levi;10276
Silong Li;218
Rubén Salvador;15442
Qianhuan Li;13789
David Rivas-Lalaleo;12306
Yi Zhang 0042;6352
Manuel Perez-Cortes;12535
Azizol Abdullah;17904
Aydin Ilker Karsilayan;2137
Hajime Asama;1494
Cristi Irimia;4356
Wei Pei;2348
Benjamin Noack;1495
Lin Fang;9338
Shang-Fu Yeh;1830
Bj Minson;6128
Jee-Hoon Jung;9318
Akira Iwasaki;15823
Ming Jiang 0012;4883
Jin Tae Kwak;10031
Taiki Ogata;16094
Borja Millán;6136
Long Li 0003;19854
Rebeca Marfil;18866
Petko D. Proinov;19350
Jing Zhu;11734
Israa T. Aziz;465
Nuo Huang;7963
Ooi Lia;16574
Sei Young Lee;4246
Mingjie Xu;16830
Álvaro García-Sánchez;6374
Susel Fernández;11797
Jim Holmes;12660
Arthit Thongtak;11264
An Braeken;2563
Cristian Tanas;15645
Michal Sobaszek;8122
Pascal Maussion;7713
Ulrich Sorger;1323
Jinping Sui;1472
Chengke Wang;16263
Ravishankar Borgaonkar;11994
Laihang Yu;17416
Ning Wu;10143
Jenq-Yang Chang;8130
Vahid Samavatian;18372
Gonzalo Farias;17541
Rui Wang;17912
Dong-Lin Li;12935
Ben Shen Deng;13614
Hyo Sik Yoon;13814
Massimo Merenda;8374
Jin Tao;8611
Jonathan B. Betts;18722
Marios Alitska;167
Xuhui He;14831
Thomas Wu;11663
Qianhao Sun;16899
Maximilian Semmling;66
Mubarak Alrashoud;7100
Erol Gelenbe;2206
Yuan-Rong Lo;17638
Liyun Zuo;11590
Ales Janota;15683
C. Dechsupa;3662
Vladimír Marík;11688
Panagiotis Demestichas;8375
Piero Toscano;6353
Thomas Dowrick;5461
Joon-Hyuk Chang;18789
Emanuele Gruppioni;4822
David Steer;19003
Sohail Jabbar;2397
Mohamed Yassine Samiri;15801
Andrea Cattaneo;9753
Joachim Dahl Thomsen;19186
Kun Chen;3600
Jing Zeng;15843
Zhan Zhou;10280
Derek R. Magee;7173
Bing Li 0006;3870
Sébastien Carriere;17514
Hongjian Yu;4483
Ying Xie;15363
Douglas L. Maskell;17329
Mingfang Zeng;18394
Grzegorz Stepniak;19481
Haoling Ren;16123
Yojiro Shibako;11601
Leiting Pan;19417
Qimin Zhang;19248
Ana D. Guzmán-Chávez;19110
Xiaochao Hou;2264
Yuehuan Wang;9979
Marco Aiello 0001;3440
Masoud Arabi Chamali;14418
Francisco Javier Díaz Pernas;18865
Seungji Yang;19870
Jacky W. Keung;13218
Lei Wu 0002;3921
Khaled Salah;14306
Suliman Shanbr;5184
Jürgen Winkler;14770
Encarna Sosa Sánchez;108
Daniel G. Sbarbaro;10490
Heng Wu;2432
Marcelo A. Pereira-da-Silva;14553
Yi-Chang Li;8246
Jiri Hromadka;14534
Carlos Boya;15855
Kashif Rehan;4945
Zuping Zhang 0001;14294
Andrew J. Cooper;18933
Tao Li 0005;19760
Rudiger Höffer;1829
Ren Suzuki;14179
Chonghu Cheng;17207
Chiara Mariotti;18749
Yan Xing;13126
Ji Young Lee;16272
Eunji Lim;152
Halit Orhan;18953
Rafiullah Khan;934
Mario Kolberg;9959
Zhi Wang 0003;11912
Gábor Szabó 0004;13857
Han Yu;11388
Sagar Dhakal;3269
Man Ho Au;7896
Natalia K. Nikolova;6325
Seungdeog Choi;7736
Sohaira Ahmad;4033
Rajesh Challa;9027
Dong-Il Cho;7648
Kai Wang 0009;6057
Jong-Hwan Kim 0003;11202
Vincenzo Eramo;9778
Ali Ahmadvand;3751
Bin-Jie Hu;8487
Denis Caromel;9532
Tao Yu;5069
Yangguang Yan;2407
Meng He 0007;19761
Eulalia Martínez;11239
Tiantian Sheng;5495
Rui Liu;11174
Carlos D. Gerardo;4749
Zhi-Min Wang;859
Ming Yang 0006;1471
Matteo Forchielli;14124
Baochao Wang;3109
Sadek C. A. Alfaro;19470
Zhengxiang Song;14682
Brendan Ubochi;3525
Bo Zhang 0011;5396
Fengrong Ou;8882
Jinxiu Si;14043
Hamid Bahrami;11809
Feng Wang;6797
Xiaoling Wu;3939
Vladimir Galindo;451
Mouna Hajir;935
Mansour Alzuair;6612
Erica Forzani;7922
Muhammad Abu Bakr;18555
Jorge Rivera Dominguez;1018
Joaquin Araos;1394
Muhammad Aslam;19940
Daeyoung Kim 0004;870
Yago Saez;4884
Ragini Patel;1350
Jinjun Liu;19285
Billie F. Spencer;19923
Lassi Hentilä;7249
Junchao Huang;3824
Ling Feng;7852
Gihoon Choi;14682
Jonathan C. Claussen;17230
Dong Hyun Kim;5468
Bin Fang;12383
Weining Lu;13652
Hyun-Mo Cho;13294
Steven Jens Jorgensen;4952
Davide Quaglia;10404
Jing Liang 0003;15922
João C. Ferreira;16192
Slavica Savic;1248
Xin Tao;16003
Ranjan Kumar Behera;10238
Noemie Lafouge;3353
Ling Cui;9583
Baldemar Ibarra-Escamilla;14986
Anupriya Gogna;14261
Yixuan Xu;2227
Goran Lindbergh;14085
J. T. Chen;14395
Angel Navarro-Rodriguez;8321
Affum Emmanuel Ampoma;17100
Jyun-Ting Lin;2411
Naser Ojaroudi Parchin;12577
Wei Zhang 0075;8632
Renke He;6214
Tung-Kuan Liu;9160
Anastasios Zafeiropoulos;6191
Jae Keon Kim;11522
Delfín Rupérez Cañas;522
Ming-Yen Liu;10731
David Perez Abreu;12355
Xinyuan Chen;11109
Pingqi Pan;19552
Francesc Torres 0001;6798
Hanbing Yao;15662
Nikhil Sasidharan;16997
Pablo Lezana;6543
Isidro Martin;16766
Hangke Song;10067
Muhammad Iram Baig;18594
Gabriel Estay;9543
Rahul Devassy;14304
Diego Casado-Mansilla;7542
Jose Flordelis;6835
Osamu Inomoto;11621
An-Ning Dai;12043
Wei Hu 0009;15957
Haoxuan Ma;3842
Ruiqin Li;13492
Harald Schuh;16168
Quan Yu;3152
Wuwei Chen;12829
Zhetao Li;15013
Roberta Meschini;14584
René Kizek;15391
Yousef Neyshabouri;9702
Girolamo D&apos;Agostino;3279
Justin J. Leiterman;7251
Víctor Canalejas-Tejero;14667
Ji-Sang Lee;6897
Il-Woo Jeong;16537
Polina Razborova;1578
Qiannan Lu;12677
Muyun Fang;12920
Christian Callegari;6535
Xiaoqiang Wang;6058
Ryan Ahmed;5329
Eui-Nam Huh;15021
Luis Miguel Contreras Murillo;5511
Pedro Costa;7534
Khim Chhantyal;15524
Hui Jiang;9451
Norbert M. K. Lemke;18683
Xianxu Li;8545
Jakub Spotak;12214
Francisco Javier Díaz Pernas;2830
Stefan Paszek;11549
Gang Zeng;7984
Hao-Hung Chai;2630
Chen Fang;2319
Paul Dean;10464
Prashant K. Jamwal;18078
Alaa E. Hamza;15003
András Szenes;14847
Adriano Fagiolini;1257
Mónica Oliveira;897
Remko van den Hurk;13064
Ding Wang 0002;18427
Fabio Balzano;16472
Giovana Cover;13478
Fulin Liu;10245
Huosheng Hu;18725
Nomdo M. Jansonius;2462
Soo Chul Lim;5706
Joseph Rafferty;3737
Jianhui Bao;10717
Slawomir Zimowski;19615
Sascha Preu;10766
Jih-Sheng Lai;7076
Ming Lim;18538
Wenka Schweikert;3967
Chun Chen;4781
Liang Yan 0001;13326
Nelson Iruthayanathan;12804
Neil J. McEwan;9032
Nancy E. ElHady;8705
Alireza Ramezani Akhmareh;17673
Julien Cousin;2617
Xin Ma 0001;9237
Salvatore Domenic Morgera;6603
Ji-Eun Jeong;18029
Luming Cheng;16086
Meng He 0007;8164
Ryan Meredith;5702
João Paulo Silva Cunha;7437
Dragan Indjin;7942
Naoki Oishi;12254
Pengpeng Chen;11888
Chengxiang Tan;4071
Hideharu Matsuura;16746
Javier Tardáguila;11814
An Braeken;17830
Haiying Zhang;4201
Lok Pati Tripathi;513
Claudia Villalonga;7046
Ricardo Severino;19426
Bo Hu;7836
Ibrahim Lahmer;18929
Yongwoo Cho;18166
Ghulam Bhatti;2459
Alister G. Burr;17009
Gad A. Pinhasi;19447
Pascal Vasseur;8641
Proespichaya Kanatharana;1481
Yuhui Zheng;6872
Hsieh-Chang Huang;15964
Alessandro Sardini;201
Fan Fan 0001;1869
Ming-Yi Ju;15373
Jun Guo 0001;16931
Sohail Zafar;6542
Renshi Sawada;6255
Yanping Li;16432
Carlos R. P. dos Santos;9421
Manuele Bertoluzzo;19714
Pin Hu;15570
Guido Pasquariello;1263
Jung-Yeol Yeom;3879
Tim Farnham;6253
Gianni Tomassi;930
Shin Harase;4072
Hongkai Xiong;19335
João Santos;8708
Amy J. C. Trappey;16538
Alberto Refice;6587
Kadir Aslan;10955
E. Rossinot;10784
Jaime E. Muñoz Rivera;6163
Qiang Wei;13465
Yongpeng Shen;8714
Yi Zhang 0042;3949
Nima D. Badizadegan;19647
Anita J. Crompton;18289
Fangzi Hu;10845
Yifang Zheng;19767
Nannan Wang;1868
Agnese Sbrollini;726
Fredrik Evestedt;8331
Dingyuan Hu;16167
Lingpu Ge;11763
Tiago B. Marchesan;10722
David Lowry;8468
Mihai Ciobotaru;16204
Sibi Raj B. Pillai;19098
Nipon Ketjoy;5674
M. Aleroev;19816
Ammar H. Ali;1019
Joseph K. Liu;12414
Kailin Ren;1153
Giulia Romani;3300
José Antonio Álvarez-Bermejo;5571
Eila Ovaska;8713
Abhisek K. Behera;12334
Robert Mingesz;13726
Seungdeog Choi;18595
Weimin Chen;5481
Sergio Llorente;3961
Qimei Cui;15333
Juan Heredia Juesas;15512
Yichuan Dai;17234
Weihua Gui;3956
Arvydas Palevicius;11971
Namju Jeon;13863
James J. Szykman;3907
Nan Zhao 0005;6848
João Paulo Bazzo;14825
Falk Liebner;468
Gil Seung Lee;12239
Jose Matamoros;1966
Hannah Dies;11122
Guanjun Zhang;2008
Meng An;10
Alexey A. Melnikov;6254
Zhanqing Yu;18320
Isabel del Valle;5133
Zhihao Cai;1228
Ze-Yin Zheng;17012
Bodong Li;5921
Kandarpa Kumar Sarma;11430
Stefan Schlatter;10584
Robert P. Marinier;9353
Yu-Lun Chuang;7746
Cunyun Nie;9230
Dmitry Golovanov;1280
Jhonghyun An;2968
Touria El Mezyani;186
Samar K. Saha;15693
Alessandro Paoli;8918
Lifang Guo;4015
Lei Sun;15160
Marco Di Felice;17077
Saiwei Li;9800
Qing Cai;2712
Jae-Hyun Ham;537
Zhihua Qu;19647
Peng Yu 0001;19460
Luís Portugal;19691
Haik Kalantarian;5357
Guanbing Bai;1004
Eui-Jik Kim;4523
Xiangmin Liu;15187
Alexander V. Mantzaris;9317
Hao-Chin Chang;18229
Youming Li;9986
Alexander Malaver;16630
Xiao Pan;11339
Hendrich Quitmann;16673
Jongpal Kim;12336
Jingli Gao;8880
Yongbin Cao;2957
Nir Billfeld;11833
Kyung-Joong Kim;4281
Chenglin Liao;16850
Daniel S. Soper;15757
Pasquale Cirella;4949
Farhad Abtahi;6472
Tang Sai Hong;18178
Bouchra Senadji;2576
Wanchen Yang;5795
Rafael S. Oliveira;12889
Lizhi Qu;15530
Tuyen V. Vu;18293
Ioannis E. Livieris;10273
Marcelo Araya-Salas;9283
Satohiro Tajima;12179
André Veltman;6435
Gabriel Filios;8366
Ian Jennions;853
Xuanzhen Chen;5508
Andy Chit Chiow Tan;15044
Ming Jin 0002;72
Dapeng Oliver Wu;3550
Teruyuki Kondo;7488
Lakshmi Reddi;4229
Fangming Hu;11134
Sana Abid;1388
Dehong Xu;6583
Gerardo García Almeida;13629
Marcelo A. C. Fernandes;1346
Byoung-Ho Kang;10419
Varun Jeoti;15385
Nemai C. Karmakar;16879
Pavel V. Bakharev;12208
Radael de Souza Parolin;7689
Barbara Hauer;4194
Alex Ruderman;15356
Jong-Suk Choi;16344
Muhammad Usman Memon;17242
Jerry Yu;18227
Chuanxi Qian;6731
Mohammad Shakouhi;19658
Wangqiao Chen;8569
Rongpeng Li;17560
Won-Du Chang;12031
Yusuf Al-Turki;15260
Nhien-An Le-Khac;14829
Shahin Vakilinia;8602
Xiaojian Zhou;5962
Mehran Torabi;10453
Mozhgan Amiri;11706
Scott A. Crooker;12439
Han-Joon Kim;389
Tone Godesa;19215
Robert Schaback;6396
Miao Yao;2378
Yaser E. Hawas;12055
Ha-Neul Yoon;678
Alessandra Borrelli;2118
Yongchun Zuo;16248
Kimmo Järvinen 0001;18897
Hanying Feng;4977
Thijs M. Tönis;1392
Woei-Chyn Chu;14474
Murilo E. C. Bento;15861
Eui-Young Song;6813
Saber Zerdoumi;12186
Tsung-Hung Lin;17899
Michael L. Wheeler;6272
Jiujiu Liu;17375
Wei-Ting Liou;4338
Jaber Moghaddasi;19081
Chilakapati Nagamani;14329
Zhilei Yao;1708
Wenjun Liu;1587
Ali Ahmadvand;9903
Valentin G. Ivanov;16024
Fabrizio Marignetti;1819
Jae Sung Choi;10737
Thomas Plötz;15074
Tariq Aziz;10241
Volker Lohweg;17992
Christopher D. Townsend;15303
Yeow-Khiang Chia;5307
Ramón Martínez-Máñez;7461
Debdeep Banerjee;4063
David Gerada;873
Alessandro Malschitzky;11961
Paris Liapis;15084
Jacobo Saenz;17898
Eun-Young Jung;1721
Ming Ren;12104
Sayyed Asghar Gholamian;14342
M. Manikandan;13251
Jorge L. Duarte;10835
Andres Hernandez;7126
Hristijan Gjoreski;16407
Yoshihiro Hoshi;18745
Aloknath Chakrabarti;4416
Linrang Zhang;3084
Shrikrishna V. Kulkarni;280
Tristan M. Evans;1218
Min-Su Kim;17903
Steven Delrue;5695
Haibin Yu;1369
Chi-Ho Park;17189
Burak Ozpineci;9410
Shaharil Mad Saad;8195
Hongxia Bie;7369
Yang Shi 0001;7689
Heng Li 0005;14279
Xicheng Tan;12540
Shuchao Wu;7895
Oscar Casas;5255
Yeong-Seung Jeong;2694
Weimin Zhang;7601
Hugo Velthuijsen;4954
Valerio De Luca;6140
Jun Shang;13402
Vladimír Prokop;18058
Sehoon Oh;4516
Lotfi Hidri;8712
Akram M. Zeki;6448
