author	institution name	Company|University
Hyun-Woo Sim	Warren, Gray and Coleman	Company
Juan Jaramillo	Sanders-Dean	Company
Yangguang Yan	Tohoku Fukushi University	University
Haitao Tang	Yazd Medical University	University
Goutham Reddy Alavalapati	Saitama Institute of Technology	University
David S. Ricketts	Gifu University	University
Alexander Schmitz	Rocha-Miller	Company
Antonio Valdovinos	Bauder College	University
Harri Kaartinen	Bruce-Hill	Company
Lorenzo Addazi	University of Cyprus	University
Mariana Pereira	Smith, Smith and Williams	Company
M. Nazif Faqiry	Clark LLC	Company
Wei You	Agricultural University of Warsaw	University
Peter Newman	Galloway-Mills	Company
Raúl Mohedano	Instituto Superior de Línguas e Administração	University
Jurica Babic	Misr International University	University
Paul Vickers	Turner, Weiss and Davis	Company
Esperanza Johnson	Johnson-Zimmerman	Company
Yunxiang Xie	Hunt, Graham and Martinez	Company
Martina Ziefle	House, Rose and Kelly	Company
Chao Cheng	Assiut University	University
Nomaphelo Ntshongontshi	Fuentes-Hahn	Company
Bhaskar D. Rao	Rockford College	University
Kailiang Xu	Lamb-French	Company
Ligu Zhu	Kiev National Economic University Named after Vadym Hetman	University
Zhile Yang	Baker College of Muskegon	University
Zhongbao Wei	National Fisheries University	University
Tsung-Yi Ho	Misr University for Sience and Technology	University
Xinjin Lu	Shanxi University	University
Tobias Schreck	Meadows, Cunningham and Long	Company
Ken Takeuchi	Clark, Miller and Green	Company
Nemat Nyamoradi	Ward PLC	Company
Qinghua He	Parker, Saunders and Parker	Company
Shashank Agrawal	Banks, Fitzgerald and Garcia	Company
Juan Carlos Campo Rodriguez	Meadows, Cunningham and Long	Company
Paulo Portugal	Guerra, Alexander and Petersen	Company
Yue Hu	Zimmerman-Decker	Company
Yishen Qiu	Osaka Shoin Women's College	University
Mohamad Souheil Alabed	King-Schmidt	Company
Meng Zhang Lmam	Hong Kong Institute of Education	University
Yao-Hsin Chou	Jagran Lakecity University	University
José Manuel Peña 0002	Flores, Carter and Braun	Company
Mingyang Song	Hardy, Torres and Adams	Company
Jun Mei	University of East Anglia	University
Karl-Henrik Haugholt	Thomas Group	Company
Wu Liao	Simmons-Silva	Company
Yiming Huo	Bass-Nixon	Company
Zhilin Qiao	Johnson-Williams	Company
Bao-Jian Wen	Gonzalez, Stephens and Rivera	Company
Indira Rawat	Southwestern Christian College	University
Omar Khadir	Campbell, Flores and Ellison	Company
Haixin Sun	Kelley-Cannon	Company
Mingjie Gao	MGH Institute of Health Professions	University
Christopher Moufawad el Achkar	Buena Vista University	University
Hui Dong	University of Munawwar-ul-Islam	University
Murdoch Watney	University of Kurdistan	University
Lei Zhang 0053	Philosophisch-Theologische Hochschule der Salesianer Don Boscos	University
Sanjeevikumar Padmanaban	Elliott PLC	Company
Manman Cui	Gonzalez, Jones and Gray	Company
Jing Ju	VBS Purvanchal University	University
Frances Bell	University of Lagos	University
Hao Feng	Ortiz, Nelson and Porter	Company
Özlem Ertekin	Thomas PLC	Company
Chee Lip Gan	Karnataka State Open University	University
Jaime Chen	Kaya University	University
Yong-Yuan Deng	Martinez-Johnson	Company
Jiatong Bao	Stone, Carey and Jones	Company
Ben Meunier	Koch-Cole	Company
Ilir Shinko	Institut National des Télécommunications	University
Jean-Paul A. Barthès	Tibet University of Nationalities	University
Mengyang Li	Bailey Group	Company
Niu Shengjia	Pädagogische Hochschule Erfurt/Mühlhausen	University
Khalil Salehian	Pena-Myers	Company
Irengbam Tilokchan Singh	Lewis, Harris and Fernandez	Company
Leonid Kaluzhskiy	Price, Hernandez and Martin	Company
Kun Zhou	Thompson-Lloyd	Company
José Víctor Rodríguez	Stone, Scott and Ayala	Company
Franco Fuschini	Ortiz, Nelson and Porter	Company
Youming Li	Farrell-Townsend	Company
Vinayak Dangui	Norwegian State Academy of Music	University
Yuhua Jiang	Hart Group	Company
Allen D. Allen	Gallagher Ltd	Company
Ziyang Chen	Universidad Industrial de Santander	University
Tommy Boilard	Garcia and Sons	Company
Gandeva B. Satrya	National Theatre Conservatory	University
Tomas Nykodym	Lutheran Bible Institute of Seattle	University
Jeremy Steward	Bankura University	University
Vicente Díaz	Lagos State University	University
Luis Muñoz	Kerr, Kaufman and Hayden	Company
Zabih Ghassemlooy	Rios Ltd	Company
Jang-Hyun Park	Huffman, Carrillo and Morales	Company
Antonio Borgia	Miller, Fitzpatrick and Mcclain	Company
John Sören Pettersson	Centennial College	University
David Gates	Peterson, Olson and Phillips	Company
Shuangchen Li	Universidade de Mogi das Cruzes	University
Pravesh K. Kothari	Lipeck State Technical University	University
Maryyam Nawaz Malik	Lopez, Scott and Cortez	Company
Cunqing Huangfu	Robles-Bass	Company
Antonio Fricasse	Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy	University
Lluís Casals	Garrison, Nelson and Smith	Company
Xuhai Xu	Davis Group	Company
Akos Vetek	Al-Buraimi University College	University
Suman Sankar Bhunia	Anderson-Delgado	Company
Prakash Panangaden	Romero PLC	Company
Yanghuan Li	Jones-Smith	Company
Yu Zhuang	Instituto Politécnico do Cávado e do Ave	University
Chaklam Silpasuwanchai	Oregon College of Arts and Crafts	University
Hala Alshdaifat	Romero Inc	Company
Mohammed Siddiqui	Université de Haute-Alsace	University
Christopher Fishpaw	University of the Visual & Performing Arts	University
Asisa Kumar Panigrahi	Tucker, Graham and White	Company
Mike Burmester	Johnson-Jennings	Company
Simone Melzi	Kyoto City University of Arts	University
Svetlana V. Avtaeva	Farrell-Townsend	Company
Jinfeng Feng	North Eastern Hill University	University
Gary Perelman	Cole, Allen and White	Company
Henrique Weber	Bridges-Ross	Company
Mathieu Aubry	Ryan-Moore	Company
Yao-Lin Jiang	Antioch University Santa Barbara	University
Shihong Ding	Mullins Ltd	Company
Tzu-Yang Yu	St. Martin's College	University
Kien Seng Ong	Thomas Ltd	Company
Sihem Guemara El Fatmi	Mullins Group	Company
Yaning Li	University of Brighton	University
Hang Xu	Universitas Tarumanagara	University
Juan M. Meneses	Davenport, Warner and Cole	Company
Jian Zhang 0020	Tunghai University	University
Shigeo Morishima	Hernandez Ltd	Company
Clemens Teichmann	Mitchell-Fry	Company
Jacquelien M. A. Scherpen	Armstrong Atlantic State University	University
Yuanshun Dai	Central University College	University
Xiaodong Cao	Universidade Vale do Rio dos Sinos	University
Shuangfeng Han	Hogeschool voor de Kunsten Utrecht (HKU)	University
Hayato Watanabe	Chavez, Faulkner and Garcia	Company
Edward R. Dougherty	Barcelona Graduate School of Economics	University
Gustavo Montero	Udmurt State University	University
Eunbyul Cho	University of London	University
Lilan Long	Gonzalez, Black and Wolf	Company
Venu Madhav Govindu	Greene and Sons	Company
Michael Goesele	Wright-Jones	Company
Jesús E. Villadangos	Spertus Institute of Jewish Studies	University
Guido Boella	Wilson, Martinez and Saunders	Company
Yuekun Chen	Rivera, Conley and Brown	Company
Jeong-A Lee	Saratov State University	University
Chulhoon Jang	Ottawa University	University
Q. T. Tran	Johnson-Brown	Company
Egor V. Egorov	Gonzalez-Hill	Company
Andrea Bonfanti	Gordon PLC	Company
Farinaz Forouzannia	Lipeck State Technical University	University
Sheng-Yi Hung	Hiroshima Women's University	University
Kouki Hirata	Kansai Gaidai University	University
K. Berker Logoglu	Chen-Williams	Company
Young H. Jang	God's Bible School and College	University
Xun Zhao	Myers, Ross and Thompson	Company
Muhammad Younus Javed	University of Pitesti	University
Henry Au	Barrera-Rocha	Company
Yulin Huang	University of Roma "Tor Vergata"	University
Petros Nicopolitidis	Universidad de Huelva	University
Xinman Zhang	Hyogo College of Medicine	University
Jianyun Chen	Washington, Cruz and Robinson	Company
Yingqing Guo	Zimmerman-Decker	Company
Benedetto Troia	American Indian College	University
Kaisa Väänänen-Vainio-Mattila	Kansas City Art Institute	University
Fabien Gabriel	Yang and Sons	Company
Zu-Wu Liu	University of Alabama - Tuscaloosa	University
Juhyun Woo	Lawrence-Lopez	Company
James Zhenbin Zhang	National Taiwan College of Arts	University
Fabio Jorge Almeida Morais	Rochester College	University
Wensheng Lin	Alvarez Group	Company
Qian Lei	Meadows, Whitney and Jacobs	Company
Wenxi Yao	Martin Inc	Company
Piotr Nowakowski	Universitas 17 Agustus 1945 Samarinda	University
Jung-Chin Lai	Manuel L. Quezon University	University
Anikó Szalai	Howard, Galloway and King	Company
Johannes Srajer	Rios Ltd	Company
Audrey Lesaignoux	Kobe Shoin Women's University	University
Majken Kirkegård Rasmussen	October 6 university	University
Paul C. Beard	Graham-Cooper	Company
Sandip Das 0001	Harvey Mudd College	University
Loganathan Umanand	Sandoval, Cabrera and Peterson	Company
Muhammad Usman Asad	Universidad de Antioquia	University
Luis A. Medina	Universität Hohenheim	University
Xiaokang Liu	Cole, Allen and White	Company
Faroogh Garoosi	Richardson-Velasquez	Company
Dehua Zhu	Perez LLC	Company
Chun-Yuan Lin	Blair Inc	Company
Michal Kedzierski	Farrell-Townsend	Company
Hsiu-Chi Chen	Palm Beach State College	University
Cristian F. Pasluosta	Perry-Ho	Company
Li Cao	University of Lodz	University
Chuji Wang	Thompson Ltd	Company
Javier García Zubía	Camacho, Simmons and Orr	Company
Nurul Huda Mahmood	Gray and Sons	Company
Aleksander Sadikov	Caldwell and Sons	Company
Jin-Moo Kim	Kazan State University	University
Rashmi Agrawal	Fachhochschule Aachen	University
Fen Miao	Mendoza-Anderson	Company
Chi Xu	Mccullough-Black	Company
Jose Fabio Kolzer	Bailey Group	Company
Michael Katchabaw	House, Rose and Kelly	Company
Wendy Dassen	Jadavpur University	University
Youngsun Kim	Nairobi Institute of Business Studies 	University
W. Travis Thompson	Lopez-Bean	Company
Pablo M. de la Barrera	Polytechnic University	University
Qiwu Zou	Frank Lloyd Wright School of Architecture	University
Fatimah Ahamad	Randolph-Macon College	University
Bhaskar Sen	Sung Kyun Kwan University	University
Mark Scanlon	Johnston PLC	Company
Ahlem Mifdaoui	Taylor-Wheeler	Company
Yanfeng Geng	Iranian Academy of Persian Language and Literature	University
Abdenour Soualhi	Babasaheb Bhimrao Ambedkar University	University
B. H. Bradshaw-Hajek	University of California, San Diego	University
Ali Asghar Nazari Shirehjini	Iceland University of Education	University
Daniel Rees Lewis	Williams, Roy and Giles	Company
Khosrow Ramezani	Postgraduate lnstitute of Medical Education and Research	University
Yong Yan	Johnson-Brown	Company
Antonio-Javier García-Sánchez	Weizmann Institute of Science	University
I. Adam	Dana College	University
Sang-Hyun Kim	University of Mysore	University
Huawei Huang	BiTS - Business and Information Technology School gGmbH	University
Mathias Becquaert	Ludwig-Maximilians-Universität München	University
Ming Lyu	Ulaanbaatar University	University
Karima Amrouche	Brown Ltd	Company
Zhiqiang He	McGill University	University
Yan-Pin Huang	Potter and Sons	Company
Le Hoang Son	Westsächsische Hochschule Zwickau (FH)	University
Haoxi Cong	Instituto Piaget	University
Yubin Lan	Montreat College	University
Pin-Yuan Wen	Tibet Tibetan Medical College	University
Hongyi Yin	Ural State Forestry Technical Academy	University
Martin Mozina	Brown, Matthews and Huynh	Company
Susovan Mukhopadhyay	Snyder-Carey	Company
Kathi R. Kitner	Maria Curie-Sklodowska University Lublin	University
Jessica Roberts	Hunter-Mills	Company
Hongmin Jia	Chung-Jacobson	Company
Chulhong Kim	Kerbala University	University
Frank Ebner	Louisiana State University at Eunice	University
Masaaki Okamoto	Dongguk University	University
Faranak Fotouhi-Ghazvini	Fernandez, Barker and Ward	Company
Yzu-Wei Kuo	Johnson-Jennings	Company
Jalel Ben-Othman	Hernandez PLC	Company
Xiaolian Zhang	University of Liverpool	University
Elisa Adirosi	Jones-Flores	Company
Jiaqing Chang	Wallace-Nelson	Company
Paul D. Mitcheson	University of Maryland at Baltimore	University
Torben Ole Andersen	University of Perpetual Help, System Dalta	University
Robert D. Morris	Jobu University	University
Yan Yan	Harrison, Scott and Collins	Company
Peter A. Boncz	Pittsburg State University	University
Bangyan Zhou	Robinson, Moore and Turner	Company
Harri Hakula	Northeastern Ohio University College of Medicine	University
Tobias Stein	Arizona Christian University	University
Jonas Esch	Morgan, Robinson and Chapman	Company
Mariana P. Bento	Baldwin-Wall	Company
Jernej Cernelic	Rensselaer Polytechnic Institute	University
Mübeccel Demirekler	Hankuk Aviation University	University
Jörg Matthes	Warren, James and Barrett	Company
Sharjil Saeed	Academy of Arts "George Enescu" Iasi	University
Yunyun Qu	Anderson-Delgado	Company
Muhammad Farhan Khan	Yarmouk University	University
Mustafa Naseem	Martin Inc	Company
Michael V. Basin	Universidad Rey Juan Carlos	University
Jeffrey Mays	Freie Universität Berlin	University
Guangtuan Chen	Foster Ltd	Company
Difan Tang	Blair-Hernandez	Company
Tao Xie	Montclair State University	University
Ronald Simon	Day, Roth and Young	Company
Richard Tang	King College	University
Ronan Boulic	The College of Insurance	University
Roland Bartmann	Kemp, Jacobs and Hartman	Company
Angela Park	Reyes, Abbott and Johnston	Company
Woo-Jin Song	Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya	University
João Andrade	Wilkerson Inc	Company
Quoc Khanh Dang	Gilbert LLC	Company
Matjaz Perc	University of Toronto, Scarborough	University
Shahid S. Siddiqi	Perry-Ho	Company
Carelia Gaxiola-Pacheco	Jones Inc	Company
Patrick Saalfeld	Graham-Cooper	Company
Yun Yang	Vasquez, Avery and Myers	Company
Paola Gabriela Vinueza Naranjo	South Eastern Kenya University	University
Gabriel Luque	Universidade Jean Piaget de Cabo Verde	University
Jilong Ma	Universidade Federal de Santa Maria	University
Morteza Esteki	Engineering College of Copenhagen	University
Young-Ji Byon	Douglas, Ryan and Hardin	Company
Ashkan Vakil	Porter, Mahoney and Bradley	Company
Hannes Schaefke	Universidad Metropolitana de Asunción	University
Ioana Pisica	Georgia Baptist College of Nursing	University
Di Huang 0004	Wilson Inc	Company
Sawal Hamid Bin Mohd Ali	Harris Group	Company
Limin Guo	Wright-Jones	Company
Mohamed A. Aboul-Dahab	Young-Flores	Company
Beibit Abdikenov	Campbell, Brooks and Perez	Company
Marie-Georges Olivier	Music Academy "Karol Lipinski" in Wroclaw	University
Xueguang Zhang	Moore and Sons	Company
Robert Gailey	Winthrop University	University
Andong Zhan	Flynn Group	Company
Haixia Cui	Ryan-Moore	Company
Jun Kodama	Zhejiang University of Technology	University
J. Karl Hedrick	Hunter-Wallace	Company
Mahnaz M. Abdi	University of Halifax, Birmingham Campus	University
Jinhui Li	Universidad Católica Anselmo Llorente	University
Jun-Gang Wang	Davis, Edwards and Keller	Company
Diego Jimenez-Badillo	Hansen LLC	Company
Jin S. Lee	Peck, Stone and Hernandez	Company
Rosdiadee Nordin	Colon, Smith and Wong	Company
Nicolae Muntean	Free International University of Social Studies	University
Ma Dolores Flecha-Barrio	Nara University of Commerce	University
Tom Toulouse	University of Illinois at Chicago	University
Xiaoqiong He	Agricultural University of Norway	University
WenFeng Hu	Irish International University (Distance Education)	University
Qurrat-ul-Ain Baloach	Université de Lubumbashi	University
Roberto Leidhold	Concordia College, Selma	University
Caixia Cai	Seton Hall University	University
Chi-Bao Le	Gulf University for Science and Technology	University
Hamzah Osop	Perez Group	Company
Hebo Gong	Universidad Metropolitana	University
Andzela Sesok	Reynolds Ltd	Company
Roger A. Dougal	Belarussian National Technical University	University
Kamil Faisal	Rodriguez, Haynes and Payne	Company
Anil Misra	Providence College	University
M. Rachidi	Montoya-Combs	Company
Donny Citra Lesmana	Bailey Ltd	Company
Nikhil Bhalla	Harris-Smith	Company
Jesús Conesa-Muñoz	Elliott PLC	Company
Sunhwa Jung	Daiichi University of Economics	University
Hailin Yan	Barber Inc	Company
Chenglong Xue	Military academy of Lithuania	University
Hyo Sik Yoon	McKendree College	University
Yasuhiro Fukuoka	Seokyeong University	University
Quentin Tabart	Caldwell and Sons	Company
Stefan Hofbauer	National United University	University
Yinghuang Zhang	National Yunlin University of Science and Technology	University
Sinong Wang	Midway College	University
Tao Sun	Police Academy of Latvia	University
Kyung-Joon Park	Universidad Santo Tomás	University
Himal Kumar	Fuentes-Hahn	Company
Shobha Vasudevan	Walls, James and Richards	Company
Gihoon Choi	Rochester Institute of Technology	University
Chih-Wei Lin	Florida Gulf Coast University	University
Alireza Shahanaghi	Ryan PLC	Company
Chin-Teng Lin	University of Oxford	University
Zhefeng Wu	South Texas College of Law	University
Vijaya V. Saradhi	Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires	University
Bin Li 0010	Otemon Gakuin University	University
Xijun Chen	Islamic Azad University, Gorgan	University
Sayuri Kohara	Valdez-Weber	Company
Ramprasad Potluri	Richardson-Velasquez	Company
Alfons Crespo	Wuhan University of Hydraulic and Electric Engineering	University
Waddah A. M. A.	Instituto Superior de Ciências Educativas	University
Manuel Popp	Mullins Group	Company
Wei Han	Harrison-Gibbs	Company
Carlos Restrepo	Beck Group	Company
Gouda I. Salama	Jones-Watkins	Company
Guan-Hong Liou	Compton LLC	Company
Elena Pérez-Hernández	Yan Shan University	University
Andrzej Glowacz	Wheeler-Pacheco	Company
Cong-Long Nguyen	Valparaiso University	University
Lucai Wang	Abbott-Williams	Company
Christy Tyberg	Jalalabad State University Kyrgyzstan	University
Pengfei Li	Maddox-Peters	Company
Calton Pu	Bailey Ltd	Company
Hongbo Zhang	Sun Yat-Sen University of Medical Sciences	University
Jeonggeun Lim	William and Catherine Booth College	University
Zhengchun Liu	Siauliai University	University
Bin Ju	Hokkaido University of Health Sciences	University
Won-Sang Ra	Stockholm School of Economics in Riga	University
Ali Lahouar	St. Leo College	University
TaeYong Kim	Beltran Ltd	Company
Duck Young Kim	Zimmerman-Decker	Company
Chayan Sharma	Shannon, Lester and Holder	Company
Shen-Li Chen	Williams PLC	Company
Tadas Lenkutis	Richardson-Velasquez	Company
Qi Wei	Universidad Nacional Autonoma de Nicaragua	University
Young-Geun Han	Universidad Nacional del Este	University
Yongsoon Eun	Kyoto University of Foreign Studies	University
Naomi Shaked-Monderer	House, Rose and Kelly	Company
Joung-Hu Park	Université Abou Bekr Belkaid, Tlemcen	University
Lasse Hansen	Rockhurst College	University
Pallavi Mohan	University of the City of Manila	University
Yu Han	Lee-Wallace	Company
Gurami Tsitsiashvili	Kharkiv National University	University
Davies William de Lima Monteiro	Holland-Eaton	Company
Qiang Yang 0006	Instituto Politécnico de Leiria	University
Sven Wanner	Indiana University of Pennsylvania	University
Andreas Hülsing	Avery-Shaw	Company
Jifeng Guo	Institut des Sciences de l'Ingénieur de Clermont-Ferrand	University
Muhammad Awais Javed	Mendoza-Anderson	Company
Hokyoung Ryu	Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux	University
Abdulrahman Alruban	Henderson-West	Company
Alexei A. Karve	Université de Technologie de Belfort Montbéliard	University
Khalid Tourkey Atta	Kent State University	University
Wenjuan Xu	Modern University For Technology and Information	University
Prasanna Kumar K.	Oglala Lakota College	University
Faria Kalim	Universidade de Franca	University
Eduardo Nunes dos Santos	American Film Institute Center for Advanced Film and Television Studies	University
Dong-Hwan Hwang	Gilbert LLC	Company
Jirí Bittner	Lewis-Walker	Company
José A. Hidalgo-López	Pham Ltd	Company
Vitaliy Grudtsov	Fachhochschule Schwäbisch Gmünd, Hochschule für Gestaltung	University
Lin Jiang	Fine Arts Academy "Jan Matejko" in Cracow	University
Sung-Jun Park	Mullins Group	Company
Kasper L. Jepsen	Johannes-Gutenberg Universität Mainz	University
Ce Liu	Smith, Lopez and Marshall	Company
Elmar Eisemann	Universidad Nacional del Este	University
Yannik Lohr	Oregon Institute of Technology	University
Karl Jones	Universidad del Istmo	University
Vivek Nair	Hart Group	Company
Kelly Sherbondy	Carter Inc	Company
Vittorino Pata	Duncan PLC	Company
Michael Rodler	Warren Inc	Company
Harri Kankaanpaa	Universidad Comunera	University
André Mastmeyer	Williamson-Garrison	Company
Gustavo B. Figueiredo	Moore and Sons	Company
Chih-Lung Shen	Russian State Geological Prospecting University 	University
Gilles Martin	University of Baguio	University
Taotao Wang	Centre Universitaire de Jijel	University
Syed Hamid Rasool	Pena-Myers	Company
Ashutosh Sabharwal	Hernandez LLC	Company
Chayan Bhar	Jordan Academy of Music / Higher Institute of Music	University
Al-Abbass Al-Habashneh	National University of Laos	University
Fabio D&apos;Agostino	Daniel Webster College	University
Yueting Chai	Princeton University	University
Tae-Jin Kim	International Christian University	University
Walaa Hamdan	Hughes, Berry and Hamilton	Company
Hideo Taniguchi	Hampton PLC	Company
Mike Eichhorn	Northeastern Ohio University College of Medicine	University
Jared S. Ivey	Universidad de Nariño	University
Se-Hwan Paek	Arnold, Wilson and Skinner	Company
Sarah K. Spurgeon	Universitas Mercu Buana	University
Julian Fiérrez	Deaconess College of Nursing	University
Xiao Lin	Radboud University of Nijmegen	University
Jong-Ho Lee	University of Tripoli	University
Sara Bisshopp	Perez PLC	Company
George C. Konstantopoulos	Gomez Inc	Company
Ali Karami-Horestani	Technological University (Taungoo)	University
Pier Luigi Buttigieg	Davis, Ramirez and Lee	Company
Antonio Sanchez	Walter-Wood	Company
Uriel Haile Hernández Belmonte	Bradley, Allen and Davis	Company
Jorgos Coenen	Jensen Inc	Company
Jiajia Chen 0002	Rabindra Bharati University	University
Mqhele E. Dlodlo	Chen-Garrett	Company
Jie Zhang	Kramer and Sons	Company
Shuai Zhang	Fachhochschule Kaiserslautern	University
Hock Soon Seah	Trident University	University
Wufeng Xue	University of Shiga Prefecture	University
Farooq Aftab	The Cooper Union for the Advancement of Science and Art	University
Takahiro Hara	Foley Ltd	Company
Ju Chen	Clark-Christian	Company
Jirarat Ieamsaard	Hazara University	University
Bran Knowles	Armstrong-Ortega	Company
Yuh-Dauh Lyuu	King-Kelly	Company
Randy Paffenroth	James Madison University	University
Mifeng Ren	Shaoguan University	University
Dritan Kaleshi	Henry, Lewis and Espinoza	Company
Weibiao Wu	Helsinki School of Economics and Business Administration	University
Adela Bara	Booth, Long and Fletcher	Company
Guan-Long Huang	Neal, Ramos and Patterson	Company
Jan Pasek	Al-Balqa Applied University	University
Justyna Jarczyk	Dr. Hari Singh Gour University, formerly University of Sagar	University
Shengjie Qiang	Perez LLC	Company
Ali Heidari	Bircham International University	University
Harald Kraus	Prairie View Agricultural and Mechanical University	University
Leonard J. Tung	Concordia University College of Alberta	University
Fuchun Lin	Russell Inc	Company
Philippe Lutz	Wako University	University
Yanyang Zi	Universidad de Málaga	University
Heiner Goldbach	Sandoval, Stuart and Hale	Company
Fei Yu	Wise-Mitchell	Company
Hongdong Li	Thompson Inc	Company
Otto Hellwig	Moldova State University	University
Alireza Zare	Carl von Ossietzky Universität Oldenburg	University
Chuanxue Jin	Benha University	University
Zhihao Ge	Reed Group	Company
Vadim Geurkov	Ecole Supérieure de Chimie Physique Electronique de Lyon	University
Alvaro Orellana	Lewis and Sons	Company
Honghai Liu	Martinez and Sons	Company
Roberta Meschini	Foley Ltd	Company
Yulin Fang	Torres PLC	Company
Jun Yu 0003	Martinez-Garcia	Company
Rui Ling	Griffith College	University
Mónica Aguilar-Igartua	Minot State University	University
Christophe Kunze	St. Petersburg State Cinema and TV University	University
Shih-Wei Lee	Jordan Group	Company
Daoyuan Sun	Belarussian State Economic University	University
Farzane Fallahati	University of Livingstonia	University
Duong Trong Bui	Universidad de La Laguna	University
Sunilkumar S. Manvi	Fort Lewis College	University
Qiang Wang	Avinashilingam Institute for Home Science and Higher Education for Women	University
Eder Ollora	Jones and Sons	Company
Ikuro Sato	Smith LLC	Company
Liang Qian	Gibson, Powers and Palmer	Company
Guanqun Bao	Al-Jabal Al-Gharbi University	University
Belma Turkovic	Lopez, Scott and Cortez	Company
Dan Voicu	Ellis PLC	Company
Jayeeta Basu	St. Petersburg State University of Information Technologies, Mechanics and Optics	University
Dunshan Yu	Gillespie, Martinez and Carroll	Company
Jonathan Lee	Cummings, Boone and Johnson	Company
Danilo De Rossi	Silver Lake College	University
YingYi Li	Carpenter Ltd	Company
Galiveeti Hemakumar Reddy	Yuan Ze University	University
Xingfang Feng	Ward PLC	Company
Fung Yu Young	Salazar-Salazar	Company
Pankoo Kim	University of Lahore	University
Sabato Marco Siniscalchi	Sparks-Smith	Company
Mitja Nemec	Humber College	University
Roch H. Glitho	Coleman, Barnes and Armstrong	Company
Jianxiang Cao	University of Southampton	University
Jerry Yu	University of Lodz	University
Filip Andren	Korea National Open University	University
Sih-Ting Zeng	University of Southampton	University
Julian Severiano Rodriguez-Acevedo	Young-Flores	Company
Mani Rathika	Mansfield University of Pennsylvania	University
Makoto Masegi	Imperial College London	University
Shunping Ji	Young Group	Company
Neminath Hubballi	Lipscomb University	University
Christian Pérez	Beirut Arab University	University
Yusuke Kawano	Bradley, Allen and Davis	Company
Kaixiang Peng	Messiah College	University
Halley Profita	Katowice School of Economics	University
Ibrahim Gaidan	Pitts-Duncan	Company
Limin Jia	Lawrence-Lopez	Company
Shaker Alkaraki	Chung Shan Medical and Dental College	University
Christian Mai	Cole, Allen and White	Company
Xu Zhu 0001	Universität Augsburg	University
Jumana Abu-Khalaf	Yates and Sons	Company
V. Senthil Kumar	Garcia, Butler and Singleton	Company
Dinghu Ren	Wilson, Martinez and Saunders	Company
Per Zetterberg	Romero PLC	Company
João B. Borges Neto	St. George's University	University
Marcus J. Schultz	Paul Quinn College	University
Javad Fotouhi	Omsk State Transport University	University
Kasamsuk Ungchittrakool	St. Petersburg StateMechnikov  Medical Academy	University
Christian Kuehn	Université Lumiére (Lyon II)	University
Fatmir Hetemi	Roberts-Kirby	Company
Hongying Huang	Cox and Sons	Company
Daria Madjidian	Rogers, Vargas and Stewart	Company
Lior Shamir	Gray-Ibarra	Company
Kang Ma	University of the Pacific	University
Guillermo Royo	Ferguson, Clarke and Osborn	Company
Holger Regenbrecht	Carpenter Ltd	Company
Bo-Hyung Cho	Chan Ltd	Company
Zhuolin Wang	Wilson, Martinez and Saunders	Company
Jose F. Monserrat	Gangdara Institute Of Science & Technology	University
Lara Kassab	Shanxi University	University
Bong-yeol Yu	King-Hensley	Company
Chi-Jen Tu	Bernard-Cruz	Company
Xiaobao Yang	Howell-Contreras	Company
Wenhua Cui	Ecole Supérieure de Chimie Physique Electronique de Lyon	University
Licia Lenarduzzi	Woods PLC	Company
Andrea Cavagnino	Kemp-Schmidt	Company
Dale Esliger	Meyers-Parker	Company
Andre Ester	Universitas Brawijaya	University
David McCoul	Santana, Casey and Anderson	Company
Ibrahim. I. Arafa	Graceland College	University
Laura García	Thompson-Lloyd	Company
Ferruh Özbudak	The Naropa Institute	University
Chuan Li 0003	Pennsylvania State University - Schuylkill	University
Anastasia V. Grigorieva	Elliott PLC	Company
James Liljenquist	The Superior College 	University
Richard A. Tyrrell	Uva Wellassa University	University
Qiao Yue	Universidad Tecnológica Indoamérica	University
Raimund Dachselt	Hines Group	Company
Ali Hosseingholi Pourasl	King's University College	University
Rowa Al Ramahi	North Greenville College	University
Bilal Al Jammal	Mullen-Carlson	Company
Yiguang Liu	Theologische Fakultät Paderborn	University
Juan Manuel Meneses Chaus	Georgia School of Professional Psychology	University
Hsin-Hung Liao	Warren, Gray and Coleman	Company
Tetsu Tanaka	Chonnam National University	University
Jungmee Hwang	Beppu University	University
Mithun Mukherjee 0001	Gonzalez-Hill	Company
Rajesh Chapagain	Meiji University	University
Henning Fernau	Colon, Smith and Wong	Company
Pengjun Zheng	Johannes-Gutenberg Universität Mainz	University
Ahmed Refaey	Aguilar PLC	Company
Andrew Hutchison	Williams and Sons	Company
Zhangbing Zhou	International Budo University	University
Tao Su	Hall, Adams and Mathews	Company
Simon Solotko	Joseph-Odonnell	Company
Sumit Dutta	Ecole Française d'Electronique et d'Informatique	University
Xinwei Dong	Porter, Mahoney and Bradley	Company
Esteban J. Fuentes	University of the Arts	University
Hendrik Decker	Ecole Française d'Electronique et d'Informatique	University
Xiao Wu	Russian State Hydrometeorological University	University
Yuhua Zhong	Moore, Jones and Lloyd	Company
Islam Amro	Holland, Mitchell and Hess	Company
